YYYYMM,INDEX,POWER
200401,1,26978358.02
200402,2,26508170.77
200403,3,27284329.41
200404,4,28046182.35
200405,5,27244506.48
200406,6,27082961.48
200407,7,27346004.67
200408,8,27656857.79
200409,9,28232451.24
200410,10,28556120.94
200411,11,28367124.05
200412,12,28562106.43
200501,13,28375437.44
200502,14,27838480.97
200503,15,28598631.51
200504,16,29355501.91
200505,17,28482150.61
200506,18,28326181.92
200507,19,28322317.12
200508,20,28764354.81
200509,21,29335128.08
200510,22,29145312.05
200511,23,29287617.22
200512,24,29505146.07
200601,25,28880910.62
200602,26,29383486.5
200603,27,29897827.73
200604,28,29887953.01
200605,29,28925038.56
200606,30,29068797.6
200607,31,29113809.23
200608,32,29886236.06
200609,33,29916630.54
200610,34,30143525.32
200611,35,30531121.36
200612,36,30493979.03
200701,37,30699704
200702,38,30324669
200703,39,31312900
200704,40,32030744
200705,41,31382917
200706,42,30766760
200707,43,30500299
200708,44,31181133
200709,45,31735736
200710,46,32135735
200711,47,32654491
200712,48,32304926
200801,49,31855946.27
200802,50,31730940.65
200803,51,32118714.86
200804,52,31952656.29
200805,53,32299963.39
200806,54,31742987.79
200807,55,32150352.03
200808,56,33013528.63
200809,57,32964086.69
200810,58,33673777.38
200811,59,33410166.51
200812,60,31559278.49
200901,61,30666661.8
200902,62,30495142.71
200903,63,31977749.51
200904,64,32042792.8
200905,65,30945452.9
200906,66,30715169.95
200907,67,31324991.23
200908,68,32262205.6
200909,69,32716665.81
200910,70,33419533.14
200911,71,33616820.2
200912,72,34123194.7
201001,73,33360460.71
201002,74,33729757.75
201003,75,35116881.82
201004,76,35025860.49
201005,77,34296978
201006,78,34169459
201007,79,33849349
201008,80,34713394.23
201009,81,35182271.01
201010,82,35188924.99
201011,83,35077981.26
201012,84,35956439.4
201101,85,35873744.26
201102,86,35444916.66
201103,87,36350690.05
201104,88,36048318.05
201105,89,35565987.39
201106,90,35159573.72
201107,91,35417292.62
201108,92,36335812.84
201109,93,36965189.34
201110,94,36743770.38
201111,95,36368389.77
201112,96,36741948.78
201201,97,36305167.29
201202,98,36900531.02
201203,99,38623110.72
201204,100,37995869.09
201205,101,36810191.03
201206,102,36528393.11
201207,103,35917147.2
201208,104,37179602.53
201209,105,37661696.12
201210,106,37796014.07
201211,107,38643584.23
201212,108,37765084.44
201301,109,38366809.74
201302,110,38005651.72
201303,111,38442191.55
201304,112,38653663.43
201305,113,38344861.57
201306,114,37627698.01
201307,115,37697945.03
201308,116,38613276.26
201309,117,38524724.16
201310,118,39389004.38
201311,119,39920289.54
201312,120,39556378.24
201401,121,40279759
201402,122,41653487
201403,123,40269429
201404,124,39591854
201405,125,39100499
201406,126,37726472.88
201407,127,37866809
201408,128,38550694
201409,129,38894976
201410,130,40100440.59
201411,131,40950726.39
201412,132,39838307.03
201501,133,40757967.53
201502,134,40719266.36
201503,135,39758964.39
201504,136,39596670.3
201505,137,38202362.34
201506,138,37263665.83
201507,139,36816443.29
201508,140,37858685.11
201509,141,37841649.6
201510,142,39276665.57
201511,143,39224855.37
201512,144,38669960.36
201601,145,38400901.1
201602,146,38727336.57
201603,147,39444914.24
201604,148,40269420.08
201605,149,38648672.58
201606,150,37550409.23
201607,151,37255240.92
201608,152,37693934.25
201609,153,38345059.93
201610,154,38197842.24
201611,155,38754249.06
201612,156,38780794.98
201701,157,39369163.58
201702,158,38836387.49
201703,159,40545594.16
201704,160,39430431.29
201705,161,38154686.32
201706,162,38114265.09
201707,163,37380263.36
201708,164,37865728.85
201709,165,39008926.43
201710,166,39336272.02
201711,167,39826888.26
201712,168,39606125.91
201801,169,40054674.8
201802,170,39169029.75
201803,171,41106870.62
201804,172,40695005.25
201805,173,39263298.55
201806,174,38203299.08
201807,175,38508156.91
201808,176,39048876.01
201809,177,39038986.54
201810,178,40393786.25
201811,179,40407668.5
201812,180,39874847.89
201901,181,41647188.37
201902,182,41164000.33
201903,183,41147991.63
201904,184,39723394.7
201905,185,40480651.07
201906,186,38440784.12
201907,187,38345918.61
201908,188,38641545.84
201909,189,39262189.39
201910,190,41067778.91
201911,191,41792473.47
201912,192,40801897.82
202001,193,41329206.01
202002,194,40964138.87
202003,195,41138619.02
202004,196,37264053.86
202005,197,36124235.54
202006,198,35769050.28
202007,199,37869299.13
202008,200,39242225.9
202009,201,40352369.65
202010,202,42923614.5
202011,203,41430693.79
202012,204,42161402.53
202101,205,43028223.38
202102,206,41448603.39
202103,207,43598663.19
202104,208,42596003.77
202105,209,40725689.48
202106,210,40358968.04
202107,211,40123138.1
202108,212,40841700.74
202109,213,41886083.05
202110,214,42510923.14
202111,215,41802856.14
202112,216,42853179.47
